alg,dataset,n_samples,missing_percentage,time,execution,ACC,MCC,F1,precision,recall,ami,ari,completeness,silhouette,vrc,db,dunn,random_acc,random_f1,label_sizes,cluster_sizes,relative_label_sizes,relative_cluster_sizes,n_clustered_samples,percentage_clustered_samples,sub_ACC,sub_MCC,sub_F1,sub_precision,sub_recall,sub_ami,sub_ari,sub_completeness,sub_silhouette,sub_vrc,sub_db,sub_dunn,sub_random_acc,sub_random_f1,sub_label_sizes,sub_relative_label_sizes,comments
NEMO,nutrimouse_genotype,40,10,0.03884724900126457,9,0.8,0.6546536707079772,0.7499999999999999,1.0,0.6,0.40887786362325584,0.34591194968553457,0.44913161176278865,0.07785370345730364,4.321226665827686,2.5334661287998554,0.2754602571793339,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 28, 0: 12}","{1: 0.5, 0: 0.5}","{1: 0.7, 0: 0.3}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,20,0.0376473740034271,0,0.575,0.2847473987257497,0.2608695652173913,1.0,0.15,0.08371135222283486,0.015494867325198529,0.20658081439824047,0.001500066304240641,1.5736248565255437,2.1009354959853774,0.22039696027424044,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 37, 1: 3}","{1: 0.5, 0: 0.5}","{0: 0.925, 1: 0.075}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,20,0.03819720199680887,1,0.95,0.9045340337332909,0.9473684210526316,1.0,0.9,0.7564420257873864,0.8050513022888713,0.7637954966984672,0.08259567190758375,4.196086314976948,2.8763628112892623,0.24586111219975265,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 22, 0: 18}","{1: 0.5, 0: 0.5}","{1: 0.55, 0: 0.45}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,20,0.037807991000590846,2,0.575,0.2847473987257497,0.7017543859649124,0.5405405405405406,1.0,0.08371135222283486,0.015494867325198529,0.20658081439824047,-0.05167811969392262,1.0086697377408087,2.565301091928745,0.26840052800299985,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 37, 1: 3}","{1: 0.5, 0: 0.5}","{0: 0.925, 1: 0.075}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,20,0.037760704988613725,3,0.8,0.6546536707079772,0.7499999999999999,1.0,0.6,0.40887786362325584,0.34591194968553457,0.44913161176278865,0.0615251404814892,2.5265614139873867,3.462602023263517,0.28116250728672076,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 28, 1: 12}","{1: 0.5, 0: 0.5}","{0: 0.7, 1: 0.3}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,20,0.03935288099455647,4,0.6,0.3333333333333333,0.33333333333333337,1.0,0.2,0.12090523533434401,0.031055900621118012,0.23034661225454323,0.0746290599414838,1.5269467987703202,2.8575971734107055,0.257034595291403,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 36, 0: 4}","{1: 0.5, 0: 0.5}","{1: 0.9, 0: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,20,0.03806660199188627,5,0.9,0.816496580927726,0.888888888888889,1.0,0.8,0.611571732448986,0.6309148264984227,0.6282364421987757,0.08143328777831707,4.20567598444972,2.8228706822550915,0.2781207437338979,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 24, 0: 16}","{1: 0.5, 0: 0.5}","{1: 0.6, 0: 0.4}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,20,0.03847088900511153,6,0.95,0.9045340337332909,0.9473684210526316,1.0,0.9,0.7564420257873864,0.8050513022888713,0.7637954966984672,0.08188552565910355,4.401539858457585,2.8156770020119426,0.2611381783038205,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 22, 0: 18}","{1: 0.5, 0: 0.5}","{1: 0.55, 0: 0.45}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,20,0.03708533098688349,7,0.575,0.2847473987257497,0.7017543859649124,0.5405405405405406,1.0,0.08371135222283486,0.015494867325198529,0.20658081439824047,-0.02538066058048593,1.3430370362102286,2.2798485194462494,0.2331225526673638,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 37, 1: 3}","{1: 0.5, 0: 0.5}","{0: 0.925, 1: 0.075}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,20,0.036569749005138874,8,0.575,0.2847473987257497,0.2608695652173913,1.0,0.15,0.08371135222283486,0.015494867325198529,0.20658081439824047,0.006827961312510575,0.6390117589973057,3.7998746269291233,0.2787483385619335,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 37, 1: 3}","{1: 0.5, 0: 0.5}","{0: 0.925, 1: 0.075}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,20,0.03757631598273292,9,0.95,0.9045340337332909,0.9523809523809523,0.9090909090909091,1.0,0.7564420257873863,0.8050513022888713,0.7637954966984671,0.0872140801640032,4.518486558158456,2.72217759491676,0.30956100871370534,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 22, 1: 18}","{1: 0.5, 0: 0.5}","{0: 0.55, 1: 0.45}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,30,0.036071365990210325,0,0.6,0.3333333333333333,0.33333333333333337,1.0,0.2,0.12090523533434401,0.031055900621118012,0.23034661225454323,-0.0004376094525168524,1.3009862107893797,2.8121690923003455,0.22074174420823595,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 36, 1: 4}","{1: 0.5, 0: 0.5}","{0: 0.9, 1: 0.1}",40,100,,,,,,,,,,,,,,,,,
